[13-Jul-2024 22:50:21 UTC] PHP Notice:  関数 register_post_type が誤って呼び出されました。投稿タイプ名の長さは1から20文字でなければいけません。 詳しくは <a>WordPress のデバッグ</a>をご覧ください。 (このメッセージはバージョン 4.2.0 で追加されました) in /src/public/wordpress/wp-includes/functions.php on line 6078
[13-Jul-2024 22:50:31 UTC] PHP Notice:  関数 register_post_type が誤って呼び出されました。投稿タイプ名の長さは1から20文字でなければいけません。 詳しくは <a>WordPress のデバッグ</a>をご覧ください。 (このメッセージはバージョン 4.2.0 で追加されました) in /src/public/wordpress/wp-includes/functions.php on line 6078
[13-Jul-2024 22:50:31 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /src/public/wordpress/wp-includes/functions.php:6078) in /src/public/wordpress/wp-admin/includes/misc.php on line 1439
[13-Jul-2024 22:50:31 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /src/public/wordpress/wp-includes/functions.php:6078) in /src/public/wordpress/wp-includes/functions.php on line 7099
[13-Jul-2024 22:50:31 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /src/public/wordpress/wp-includes/functions.php:6078) in /src/public/wordpress/wp-admin/admin-header.php on line 9
[13-Jul-2024 22:51:31 UTC] PHP Notice:  関数 register_post_type が誤って呼び出されました。投稿タイプ名の長さは1から20文字でなければいけません。 詳しくは <a>WordPress のデバッグ</a>をご覧ください。 (このメッセージはバージョン 4.2.0 で追加されました) in /src/public/wordpress/wp-includes/functions.php on line 6078
[13-Jul-2024 22:52:31 UTC] PHP Notice:  関数 register_post_type が誤って呼び出されました。投稿タイプ名の長さは1から20文字でなければいけません。 詳しくは <a>WordPress のデバッグ</a>をご覧ください。 (このメッセージはバージョン 4.2.0 で追加されました) in /src/public/wordpress/wp-includes/functions.php on line 6078
[13-Jul-2024 22:53:32 UTC] PHP Notice:  関数 register_post_type が誤って呼び出されました。投稿タイプ名の長さは1から20文字でなければいけません。 詳しくは <a>WordPress のデバッグ</a>をご覧ください。 (このメッセージはバージョン 4.2.0 で追加されました) in /src/public/wordpress/wp-includes/functions.php on line 6078
[13-Jul-2024 23:44:22 UTC] PHP Warning:  予期しないエラーが発生しました。WordPress.org かこのサーバーの設定に何か問題があるかもしれません。問題が続くようであれば、<a href="https://ja.wordpress.org/support/forums/">サポートフォーラム</a>を参照してみてください。 (WordPress は WordPress.org との安全な接続を確立できませんでした。サーバー管理者にご連絡ください) in /src/public/wordpress/wp-includes/update.php on line 724
[13-Jul-2024 23:44:23 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /src/public/wordpress/wp-includes/update.php:724) in /src/public/wordpress/wp-admin/admin-header.php on line 9
[14-Jul-2024 00:23:19 UTC] PHP Warning:  予期しないエラーが発生しました。WordPress.org かこのサーバーの設定に何か問題があるかもしれません。問題が続くようであれば、<a href="https://ja.wordpress.org/support/forums/">サポートフォーラム</a>を参照してみてください。 (WordPress は WordPress.org との安全な接続を確立できませんでした。サーバー管理者にご連絡ください) in /src/public/wordpress/wp-includes/update.php on line 205
[14-Jul-2024 00:24:47 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in /src/public/wordpress/wp-content/plugins/wp-rest-api-controller/admin/class-wp-rest-api-controller-admin.php on line 123
[14-Jul-2024 00:32:56 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in /src/public/wordpress/wp-content/plugins/wp-rest-api-controller/admin/class-wp-rest-api-controller-admin.php on line 123
[14-Jul-2024 00:33:34 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in /src/public/wordpress/wp-content/plugins/wp-rest-api-controller/admin/class-wp-rest-api-controller-admin.php on line 123
[14-Jul-2024 00:35:59 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in /src/public/wordpress/wp-content/plugins/wp-rest-api-controller/admin/class-wp-rest-api-controller-admin.php on line 123
[14-Jul-2024 02:13:33 UTC] PHP Warning:  予期しないエラーが発生しました。WordPress.org かこのサーバーの設定に何か問題があるかもしれません。問題が続くようであれば、<a href="https://ja.wordpress.org/support/forums/">サポートフォーラム</a>を参照してみてください。 (WordPress は WordPress.org との安全な接続を確立できませんでした。サーバー管理者にご連絡ください) in /src/public/wordpress/wp-admin/includes/translation-install.php on line 62
